MajorText,MinorText,WardName,WardCode,LookUp_BoroughName,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503
ARSON AND CRIMINAL DAMAGE,ARSON,Heathrow Villages,E05013570,Aviation Security (SO18),0,2,2,2,0,0,0,0,1,3,0,2,0,0,1,2,2,3,2,2,1,2,1,1
ARSON AND CRIMINAL DAMAGE,CRIMINAL DAMAGE,Heathrow Villages,E05013570,Aviation Security (SO18),0,13,18,16,23,24,19,17,36,25,28,21,31,24,22,29,34,19,30,14,17,28,23,27
BURGLARY,BURGLARY - RESIDENTIAL,Heathrow Villages,E05013570,Aviation Security (SO18),0,0,0,0,0,0,0,0,0,0,0,4,2,2,5,4,8,10,6,12,5,6,4,10
BURGLARY,BURGLARY BUSINESS AND COMMUNITY,Heathrow Villages,E05013570,Aviation Security (SO18),1,4,2,2,4,6,3,1,4,2,9,6,3,3,0,6,5,3,7,4,0,3,5,2
BURGLARY,BURGLARY IN A DWELLING,Heathrow Villages,E05013570,Aviation Security (SO18),0,7,5,8,14,14,1,10,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0
DRUG OFFENCES,POSSESSION OF DRUGS,Heathrow Villages,E05013570,Aviation Security (SO18),1,5,8,6,7,2,7,9,11,5,5,6,3,5,4,6,9,6,10,8,7,14,11,4
DRUG OFFENCES,TRAFFICKING OF DRUGS,Heathrow Villages,E05013570,Aviation Security (SO18),0,5,3,2,5,3,3,0,4,3,0,3,0,1,2,2,2,3,1,0,2,4,3,3
MISCELLANEOUS CRIMES AGAINST SOCIETY,MISC CRIMES AGAINST SOCIETY,Heathrow Villages,E05013570,Aviation Security (SO18),8,94,117,116,97,114,128,105,103,97,85,109,126,101,115,125,124,151,138,128,108,123,69,122
POSSESSION OF WEAPONS,POSSESSION OF WEAPONS,Heathrow Villages,E05013570,Aviation Security (SO18),0,3,1,1,0,0,3,1,2,3,3,5,5,5,2,3,5,3,2,6,2,3,0,1
PUBLIC ORDER OFFENCES,OTHER OFFENCES PUBLIC ORDER,Heathrow Villages,E05013570,Aviation Security (SO18),0,1,3,4,0,4,4,0,7,1,7,6,8,3,4,2,5,2,5,3,5,3,4,3
PUBLIC ORDER OFFENCES,PUBLIC FEAR ALARM OR DISTRESS,Heathrow Villages,E05013570,Aviation Security (SO18),0,17,17,23,19,14,10,17,22,19,12,14,20,11,14,14,15,14,13,19,11,17,25,12
PUBLIC ORDER OFFENCES,RACE OR RELIGIOUS AGG PUBLIC FEAR,Heathrow Villages,E05013570,Aviation Security (SO18),0,6,4,7,1,5,8,6,3,10,9,11,16,2,13,7,6,11,7,11,9,9,4,8
PUBLIC ORDER OFFENCES,VIOLENT DISORDER,Heathrow Villages,E05013570,Aviation Security (SO18),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ROBBERY,ROBBERY OF BUSINESS PROPERTY,Heathrow Villages,E05013570,Aviation Security (SO18),0,0,2,0,0,0,0,0,1,2,2,1,0,1,1,1,1,0,1,1,1,2,0,0
ROBBERY,ROBBERY OF PERSONAL PROPERTY,Heathrow Villages,E05013570,Aviation Security (SO18),0,2,2,0,1,3,1,1,3,5,6,0,5,5,3,0,4,2,2,0,4,4,7,3
SEXUAL OFFENCES,OTHER SEXUAL OFFENCES,Heathrow Villages,E05013570,Aviation Security (SO18),0,1,10,4,9,9,7,8,17,15,5,6,12,14,11,15,17,14,8,12,8,5,10,16
SEXUAL OFFENCES,RAPE,Heathrow Villages,E05013570,Aviation Security (SO18),0,5,4,1,0,2,1,3,1,4,1,2,2,4,6,4,3,1,4,7,5,1,2,4
THEFT,BICYCLE THEFT,Heathrow Villages,E05013570,Aviation Security (SO18),0,2,2,0,0,5,2,0,0,2,0,0,0,3,1,3,0,3,1,3,1,0,0,0
THEFT,OTHER THEFT,Heathrow Villages,E05013570,Aviation Security (SO18),1,75,60,73,86,100,113,101,107,125,93,119,124,115,127,126,126,137,128,113,120,133,102,101
THEFT,SHOPLIFTING,Heathrow Villages,E05013570,Aviation Security (SO18),0,13,24,21,21,20,21,27,28,29,33,36,38,18,20,21,33,35,42,39,36,36,32,34
THEFT,THEFT FROM THE PERSON,Heathrow Villages,E05013570,Aviation Security (SO18),0,8,7,6,3,2,6,5,4,7,3,5,4,6,15,12,13,7,6,12,9,10,5,9
VEHICLE OFFENCES,AGGRAVATED VEHICLE TAKING,Heathrow Villages,E05013570,Aviation Security (SO18),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0
VEHICLE OFFENCES,INTERFERING WITH A MOTOR VEHICLE,Heathrow Villages,E05013570,Aviation Security (SO18),0,3,17,12,8,11,19,21,15,11,2,5,6,2,8,14,12,2,5,5,3,3,5,4
VEHICLE OFFENCES,THEFT FROM A VEHICLE,Heathrow Villages,E05013570,Aviation Security (SO18),0,15,48,37,40,55,55,59,41,39,33,9,27,30,47,55,36,17,36,40,27,36,34,13
VEHICLE OFFENCES,THEFT OR UNAUTH TAKING OF A MOTOR VEH,Heathrow Villages,E05013570,Aviation Security (SO18),1,9,10,9,8,5,9,11,4,15,14,16,20,7,16,16,14,11,11,16,17,19,13,21
VIOLENCE AGAINST THE PERSON,VIOLENCE WITH INJURY,Heathrow Villages,E05013570,Aviation Security (SO18),1,23,22,40,20,30,23,14,32,27,27,18,27,35,23,22,19,10,27,21,22,21,24,20
VIOLENCE AGAINST THE PERSON,VIOLENCE WITHOUT INJURY,Heathrow Villages,E05013570,Aviation Security (SO18),4,54,40,53,67,71,53,60,59,81,58,44,70,66,64,54,93,69,71,76,77,59,92,98
ARSON AND CRIMINAL DAMAGE,ARSON,Abbey,E05014053,Barking and Dagenham,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
ARSON AND CRIMINAL DAMAGE,CRIMINAL DAMAGE,Abbey,E05014053,Barking and Dagenham,3,2,5,6,5,5,6,7,5,11,6,6,4,5,6,4,4,4,6,5,4,7,2,5
BURGLARY,BURGLARY - RESIDENTIAL,Abbey,E05014053,Barking and Dagenham,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,2,0,0,1,2,3,0,0,1
BURGLARY,BURGLARY BUSINESS AND COMMUNITY,Abbey,E05014053,Barking and Dagenham,7,2,5,3,6,7,2,6,0,10,4,4,3,3,1,2,2,1,0,6,1,3,4,3
BURGLARY,BURGLARY IN A DWELLING,Abbey,E05014053,Barking and Dagenham,1,0,1,0,0,6,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRUG OFFENCES,POSSESSION OF DRUGS,Abbey,E05014053,Barking and Dagenham,8,11,13,17,8,15,10,12,6,10,4,9,3,8,9,3,11,13,12,7,8,8,9,14
DRUG OFFENCES,TRAFFICKING OF DRUGS,Abbey,E05014053,Barking and Dagenham,0,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,2,0
FRAUD AND FORGERY,FRAUD AND FORGERY,Abbey,E05014053,Barking and Dagenham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
MISCELLANEOUS CRIMES AGAINST SOCIETY,MISC CRIMES AGAINST SOCIETY,Abbey,E05014053,Barking and Dagenham,0,1,0,0,2,0,1,0,2,0,0,0,1,1,1,2,2,2,2,0,1,1,1,1
POSSESSION OF WEAPONS,POSSESSION OF WEAPONS,Abbey,E05014053,Barking and Dagenham,1,0,1,3,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,2,0,0,0,0
