Borough,Ward Code,WardName,0 to 4,5 to 9,10 to 14,Total
City of London,E00000001,All Wards,236,182,169,587
Barking and Dagenham,E05000026,Abbey,"1,412",922,663,"2,997"
Barking and Dagenham,E05000027,Alibon,"1,054",806,740,"2,600"
Barking and Dagenham,E05000028,Becontree,"1,112",850,804,"2,766"
Barking and Dagenham,E05000029,Chadwell Heath,858,805,660,"2,323"
Barking and Dagenham,E05000030,Eastbrook,758,640,692,"2,090"
Barking and Dagenham,E05000031,Eastbury,"1,171",913,877,"2,961"
Barking and Dagenham,E05000032,Gascoigne,"1,647","1,195",932,"3,774"
Barking and Dagenham,E05000033,Goresbrook,"1,140",929,753,"2,822"
Barking and Dagenham,E05000034,Heath,"1,062",842,782,"2,686"
Barking and Dagenham,E05000035,Longbridge,874,787,800,"2,461"
Barking and Dagenham,E05000036,Mayesbrook,"1,076",832,737,"2,645"
Barking and Dagenham,E05000037,Parsloes,"1,033",718,707,"2,458"
Barking and Dagenham,E05000038,River,"1,140",890,746,"2,776"
Barking and Dagenham,E05000039,Thames,"1,385",990,742,"3,117"
Barking and Dagenham,E05000040,Valence,968,740,695,"2,403"
Barking and Dagenham,E05000041,Village,"1,049",745,736,"2,530"
Barking and Dagenham,E05000042,Whalebone,937,727,691,"2,355"
Barnet,E05000043,Brunswick Park,"1,049","1,020","1,081","3,150"
Barnet,E05000044,Burnt Oak,"1,522","1,334","1,318","4,174"
Barnet,E05000045,Childs Hill,"1,400","1,118","1,076","3,594"
Barnet,E05000046,Colindale,"1,454","1,123","1,023","3,600"
Barnet,E05000047,Coppetts,"1,256","1,004",924,"3,184"
Barnet,E05000048,East Barnet,"1,169","1,020",973,"3,162"
Barnet,E05000049,East Finchley,"1,142",915,789,"2,846"
Barnet,E05000050,Edgware,"1,303","1,210","1,163","3,676"
Barnet,E05000051,Finchley Church End,"1,043",953,800,"2,796"
Barnet,E05000052,Garden Suburb,"1,197",974,906,"3,077"
Barnet,E05000053,Golders Green,"1,742","1,638","1,481","4,861"
Barnet,E05000054,Hale,"1,423","1,143","1,208","3,774"
Barnet,E05000055,Hendon,"1,498","1,100",928,"3,526"
Barnet,E05000056,High Barnet,953,833,865,"2,651"
Barnet,E05000057,Mill Hill,"1,362","1,275","1,282","3,919"
Barnet,E05000058,Oakleigh,"1,042",903,907,"2,852"
Barnet,E05000059,Totteridge,"1,064",935,876,"2,875"
Barnet,E05000060,Underhill,978,990,"1,092","3,060"
Barnet,E05000061,West Finchley,"1,209",848,702,"2,759"
Barnet,E05000062,West Hendon,"1,336","1,029",889,"3,254"
Barnet,E05000063,Woodhouse,"1,097",987,"1,010","3,094"
Bexley,E05000064,Barnehurst,599,571,657,"1,827"
Bexley,E05000065,Belvedere,932,771,795,"2,498"
Bexley,E05000066,Blackfen and Lamorbey,605,644,681,"1,930"
Bexley,E05000067,Blendon and Penhill,625,611,728,"1,964"
Bexley,E05000068,Brampton,512,545,611,"1,668"
Bexley,E05000069,Christchurch,651,561,631,"1,843"
Bexley,E05000070,Colyers,833,718,747,"2,298"
Bexley,E05000071,Crayford,749,752,763,"2,264"
Bexley,E05000072,Cray Meadows,763,672,720,"2,155"
Bexley,E05000073,Danson Park,618,620,613,"1,851"
Bexley,E05000074,East Wickham,598,595,706,"1,899"
Bexley,E05000075,Erith,"1,105",802,760,"2,667"
Bexley,E05000076,Falconwood and Welling,600,620,677,"1,897"
Bexley,E05000077,Lesnes Abbey,725,706,760,"2,191"
Bexley,E05000078,Longlands,521,501,560,"1,582"
Bexley,E05000079,North End,"1,060",925,944,"2,929"
Bexley,E05000080,Northumberland Heath,660,657,717,"2,034"
Bexley,E05000081,St Mary's,580,548,636,"1,764"
Bexley,E05000082,St Michael's,696,780,823,"2,299"
Bexley,E05000083,Sidcup,522,463,583,"1,568"
Bexley,E05000084,Thamesmead East,"1,228",953,906,"3,087"
Brent,E05000085,Alperton,902,808,779,"2,489"
Brent,E05000086,Barnhill,"1,133",982,955,"3,070"
Brent,E05000087,Brondesbury Park,818,655,608,"2,081"
Brent,E05000088,Dollis Hill,"1,088","1,009","1,046","3,143"
Brent,E05000089,Dudden Hill,"1,161",911,831,"2,903"
Brent,E05000090,Fryent,983,845,793,"2,621"
Brent,E05000091,Harlesden,"1,645","1,314","1,210","4,169"
Brent,E05000092,Kensal Green,"1,174",824,755,"2,753"
Brent,E05000093,Kenton,619,596,669,"1,884"
Brent,E05000094,Kilburn,"1,233",926,847,"3,006"
Brent,E05000095,Mapesbury,996,735,636,"2,367"
Brent,E05000096,Northwick Park,673,622,706,"2,001"
Brent,E05000097,Preston,"1,110",932,915,"2,957"
Brent,E05000098,Queens Park,"1,140",838,650,"2,628"
Brent,E05000099,Queensbury,981,898,952,"2,831"
Brent,E05000100,Stonebridge,"1,498","1,438","1,533","4,469"
Brent,E05000101,Sudbury,"1,131",930,873,"2,934"
Brent,E05000102,Tokyngton,994,829,785,"2,608"
Brent,E05000103,Welsh Harp,"1,051",902,810,"2,763"
Brent,E05000104,Wembley Central,994,756,768,"2,518"
Brent,E05000105,Willesden Green,"1,122",898,821,"2,841"
Bromley,E05000106,Bickley,890,921,916,"2,727"
Bromley,E05000107,Biggin Hill,565,562,635,"1,762"
Bromley,E05000108,Bromley Common and Keston,976,941,"1,041","2,958"
Bromley,E05000109,Bromley Town,"1,294",963,822,"3,079"
Bromley,E05000110,Chelsfield and Pratts Bottom,857,891,849,"2,597"
