Borough,Ward Code,WardName,Persons: All Ages
City of London,E00000001,All Wards,"7,375"
Barking and Dagenham,E05000026,Abbey,"12,786"
Barking and Dagenham,E05000027,Alibon,"10,385"
Barking and Dagenham,E05000028,Becontree,"11,545"
Barking and Dagenham,E05000029,Chadwell Heath,"10,021"
Barking and Dagenham,E05000030,Eastbrook,"10,506"
Barking and Dagenham,E05000031,Eastbury,"11,624"
Barking and Dagenham,E05000032,Gascoigne,"12,452"
Barking and Dagenham,E05000033,Goresbrook,"11,267"
Barking and Dagenham,E05000034,Heath,"10,786"
Barking and Dagenham,E05000035,Longbridge,"11,478"
Barking and Dagenham,E05000036,Mayesbrook,"10,342"
Barking and Dagenham,E05000037,Parsloes,"9,839"
Barking and Dagenham,E05000038,River,"10,923"
Barking and Dagenham,E05000039,Thames,"10,728"
Barking and Dagenham,E05000040,Valence,"9,867"
Barking and Dagenham,E05000041,Village,"10,787"
Barking and Dagenham,E05000042,Whalebone,"10,575"
Barnet,E05000043,Brunswick Park,"16,394"
Barnet,E05000044,Burnt Oak,"18,217"
Barnet,E05000045,Childs Hill,"20,049"
Barnet,E05000046,Colindale,"17,098"
Barnet,E05000047,Coppetts,"17,250"
Barnet,E05000048,East Barnet,"16,137"
Barnet,E05000049,East Finchley,"15,989"
Barnet,E05000050,Edgware,"16,728"
Barnet,E05000051,Finchley Church End,"15,715"
Barnet,E05000052,Garden Suburb,"15,929"
Barnet,E05000053,Golders Green,"18,818"
Barnet,E05000054,Hale,"17,437"
Barnet,E05000055,Hendon,"18,472"
Barnet,E05000056,High Barnet,"15,307"
Barnet,E05000057,Mill Hill,"18,451"
Barnet,E05000058,Oakleigh,"15,811"
Barnet,E05000059,Totteridge,"15,159"
Barnet,E05000060,Underhill,"15,915"
Barnet,E05000061,West Finchley,"16,533"
Barnet,E05000062,West Hendon,"17,402"
Barnet,E05000063,Woodhouse,"17,575"
Bexley,E05000064,Barnehurst,"10,418"
Bexley,E05000065,Belvedere,"11,890"
Bexley,E05000066,Blackfen and Lamorbey,"10,616"
Bexley,E05000067,Blendon and Penhill,"10,910"
Bexley,E05000068,Brampton,"10,546"
Bexley,E05000069,Christchurch,"10,965"
Bexley,E05000070,Colyers,"11,128"
